Question,Answering,URL,Label,size_of_the_prompt_tokens,number_of_completion_tokens,number_of_ttotal_tokens,total_cost,zero-shot-chatgpt_response
Does UT Dallas provide services for students with disabilities?,"Yes, accommodations and services are provided for students with documented disabilities to provide equal access to educational programs and services in compliance with Section 504 of the Rehabilitation Act of 1973, the Americans with Disabilities Act (1990), and UT Dallas policy. 

The Accessibility Resource Center (ARC) facilitates the provision of services and accommodations for students. Accommodations are determined on an individual basis using the student’s disability documentation and in consultation with the student.",https://accessability.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"Yes, UT Dallas provides services for students with disabilities through its Student AccessAbility office. The office provides accommodations, resources, and support to ensure that students with disabilities have equal access to all aspects of campus life. Services may include accessible classrooms, assistive technology accommodations, note-taking services, and exam accommodations, among others. Students are encouraged to contact the Student AccessAbility office to discuss their specific needs and to develop an accommodation plan."
"Is there a separate admissions procedure for students with disabilities?
",No. The admissions process and criteria are the same for all students applying to UT Dallas. Disability status will not be a consideration in admissions decisions.,https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"In most cases, there is no separate admissions procedure for students with disabilities. Students with disabilities go through the same admissions process as other students. However, colleges and universities are required by law to provide reasonable accommodations for students with disabilities to ensure that they have equal access to education. Students with disabilities may need to provide documentation of their disability and any accommodations they may need in order to participate fully in academic programs. It is recommended that students with disabilities contact the disability services office at the college or university they are interested in attending to learn more about the accommodations available and the documentation required."
Should I send my disability documentation with my admissions application?,No. Documentation should be submitted to ARC only after you have been admitted to the University and have registered for classes.,https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"As an AI language model, I cannot make personal judgments or provide individualized advice. However, in general, it is a good idea to provide disability documentation with your admissions application if you are seeking accommodations for your disability. This will give the admissions committee the information they need to determine if you are eligible for accommodations and what type of accommodations may be necessary. It is important to follow the specific guidelines and requirements of the institution you are applying to. It may be helpful to contact the disability services office at the institution to discuss your specific situation and any questions you have about the admissions process."
"What documentation is required to receive disability services?
","Students requesting services must provide current and comprehensive documentation from a qualified professional. The documentation must verify the disability and its impact on a student’s academic performance and functional limitations. 

Please refer to the Required Documentation Guidelines for complete details. Please note that eligibility guidelines and accommodations may differ from your high school or other colleges you have attended. An individualized education plan (IEP) or Section 504 plan alone is not sufficient documentation.",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"Documentation requirements vary depending on the type of disability services being requested and the specific disability in question. However, some common types of documentation that may be requested include medical records, diagnostic assessments, treatment plans, and evaluations from healthcare professionals. Additional documentation may be required for certain disability accommodations, such as academic accommodations in a school setting. It is important to check with the specific organization or agency providing the disability services to determine their documentation requirements."
Is there a deadline for submitting disability documentation?,"To ensure that accommodations will be in place when the academic semester begins, students are encouraged to submit documentation four to six weeks in advance.",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"As an AI language model, I do not have information on specific policies and procedures of all institutions or organizations. However, in general, the deadline for submitting disability documentation may vary depending on the policies and procedures of the institution or organization. It is recommended to check with the specific institution or organization for their policies and procedures regarding disability documentation."
Who at the University will know about my disability if I register with ARC?,"The accommodation process requires disclosure of the disability status to faculty and ARC staff to adapt courses, equipment or facilities to ensure equal access. 

ARC recognizes the right of the student to determine who receives disability-related information and the right to confidentiality of this information. Disability-related documents, nor services received from our office, are part of a student’s permanent education record.",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,Only ARC staff and any faculty members or staff members who need to know in order to provide accommodations will have access to your disability information. This information will be kept confidential and shared on a need-to-know basis only.
What happens after my disability documentation is received?,"ARC evaluates documentation to determine eligibility for services. An intake appointment is set to identify reasonable accommodations, and an individualized service plan is created to meet the needs of the registered student. 

Please note academic accommodations are not retroactive.",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"As an AI language model, I don't have access to your personal information. However, as a general answer, once your disability documentation is received, it will be reviewed by the relevant agency or organization. If the documentation is deemed sufficient, your disability claim or request will be processed, and you will receive a decision on your case. If additional information is needed, you may be asked to provide more documentation or attend a medical exam. It is important to follow up with the agency or organization to ensure that your case is being processed, and that you have provided all of the required documentation."
What accommodations and services will I be eligible for?,"Appropriate and reasonable accommodations are determined on an individual basis. These accommodations may differ from those provided in high school or other colleges. Accommodations frequently used by students with disabilities include extended time for test taking, note takers, printed materials in alternate formats, sign language interpreters and the use of assistive technology.",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"As an AI language model, I am not equipped to determine your eligibility for any accommodations or services. Please consult with the appropriate agency or organization for more information."
Services and Procedures for Employees,"We are currently working with Human Resources to begin processing accommodations for employees at UT Dallas. We expect to have this fully on-board by mid-October 2022. Until then, please continue to request your workplace accommodations via the HR website. ",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"As an AI language model, I don't have specific employment-related needs or preferences. However, here are some common services and procedures that may be offered and required for employees in a workplace:

1. Onboarding: The process of introducing new employees to the company culture and work environment, providing orientation, introducing them to their teams and supervisors, and completing necessary paperwork.

2. Payroll: The calculation and payment of wages or salaries, often based on hours worked or performance.

3. Benefits: The package of benefits offered to employees, such as health insurance, retirement plans, vacation time, sick leave, and paid parental leave.

4. Performance evaluations: The formal assessment of an employee’s work performance, often conducted annually or quarterly, to provide feedback and identify areas for improvement.

5. Training and development: The provision of training or resources to improve an employee’s skills, knowledge, and abilities, often offered through workshops, conferences, or online courses.

6. Workplace safety: The implementation and enforcement of workplace policies and procedures to ensure employee safety, such as ergonomic assessments, fire drills, and OSHA compliance.

7. Grievance procedures: The process for addressing workplace conflicts or complaints, often involving a formal investigation and resolution process.

8. Retirement benefits: The provision of retirement plans, such as employer-sponsored 401(k) plans or pensions, to help employees plan for their future.

9. Employee assistance programs: Wellness programs, stress management resources, or counseling services provided to employees to support their mental and physical health.

10. Employee recognition: Recognition programs, awards or bonuses for exceptional performance, or other methods to acknowledge and appreciate employees."
"How do I take a test at the ARC Testing Center?
","First, complete the initial registration process required for all students to receive accommodations at UTD. 

Second, request your official letter of accommodation for your professors as early in the semester as possible by submitting the online letter request form each semester. 

Third, if your official letter of accommodation does include “Eligible to test in the ARC Testing Center,” complete the online scheduling form for each test, exam, or quiz you want to take with the ARC at least five business days in advance (and two weeks in advance for finals). 

If your letter of accommodation does not include “Eligible to test in the ARC Testing Center” and does include testing accommodation (e.g., extra time, a distraction-reduced environment), you will need to make testing arrangements with your professor, not the ARC.",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"As an AI language model, I don't have personal experiences, but here are some general steps for taking a test at an ARC Testing Center:

1. Schedule an appointment: Contact the ARC Testing Center or visit their website to schedule an appointment for the test you want to take.

2. Prepare for the test: Study and review the materials covered in the test prior to your appointment. Be sure to bring any required materials with you, such as a valid ID or a calculator.

3. Arrive on time: Arrive at the testing center on time or a few minutes early. This will give you enough time to check in, fill out any necessary paperwork and get settled for the test.

4. Follow instructions: Listen carefully to the proctor's instructions and ask any questions you may have before beginning the test.

5. Take the test: Take the test according to the instructions given to you by the proctor. Remain focused and use your time wisely.

6. Submit your test: Once you have completed the test, submit it to the proctor according to their instructions.

7. Get your score: Wait for your test results to be reviewed and scored. Results may be available immediately or take a few days to process.

Overall, be prepared, follow the directions from the center and keep a calm and focused mindset to take your test."
